Date,DJIA
5/24/2017,21012.42
5/25/2017,21082.95
5/26/2017,21080.28
5/30/2017,21029.47
5/31/2017,21008.65
06-01-2017,21144.18
06-02-2017,21206.29
06-05-2017,21184.04
06-06-2017,21136.23
06-07-2017,21173.69
06-08-2017,21182.53
06-09-2017,21271.97
06-12-2017,21235.67
6/13/2017,21328.47
6/14/2017,21374.56
6/15/2017,21359.9
6/16/2017,21384.28
6/19/2017,21528.99
6/20/2017,21467.14
6/21/2017,21410.03
6/22/2017,21397.29
6/23/2017,21394.76
6/26/2017,21409.55
6/27/2017,21310.66
6/28/2017,21454.61
6/29/2017,21287.03
6/30/2017,21349.63
07-03-2017,21479.27
07-05-2017,21478.17
07-06-2017,21320.04
07-07-2017,21414.34
07-10-2017,21408.52
07-11-2017,21409.07
07-12-2017,21532.14
7/13/2017,21553.09
7/14/2017,21637.74
7/17/2017,21629.72
7/18/2017,21574.73
7/19/2017,21640.75
7/20/2017,21611.78
7/21/2017,21580.07
7/24/2017,21513.17
7/25/2017,21613.43
7/26/2017,21711.01
7/27/2017,21796.55
7/28/2017,21830.31
7/31/2017,21891.12
08-01-2017,21963.92
08-02-2017,22016.24
08-03-2017,22026.1
08-04-2017,22092.81
08-07-2017,22118.42
08-08-2017,22085.34
08-09-2017,22048.7
08-10-2017,21844.01
08-11-2017,21858.32
8/14/2017,21993.71
8/15/2017,21998.99
8/16/2017,22024.87
8/17/2017,21750.73
8/18/2017,21674.51
8/21/2017,21703.75
8/22/2017,21899.89
8/23/2017,21812.09
8/24/2017,21783.4
8/25/2017,21813.67
8/28/2017,21808.4
8/29/2017,21865.37
8/30/2017,21892.43
8/31/2017,21948.1
09-01-2017,21987.56
09-05-2017,21753.31
09-06-2017,21807.64
09-07-2017,21784.78
09-08-2017,21797.79
09-11-2017,22057.37
09-12-2017,22118.86
9/13/2017,22158.18
9/14/2017,22203.48
9/15/2017,22268.34
9/18/2017,22331.35
9/19/2017,22370.8
9/20/2017,22412.59
9/21/2017,22359.23
9/22/2017,22349.59
9/25/2017,22296.09
9/26/2017,22284.32
9/27/2017,22340.71
9/28/2017,22381.2
9/29/2017,22405.09
10-02-2017,22557.6
10-03-2017,22641.67
10-04-2017,22661.64
10-05-2017,22775.39
10-06-2017,22773.67
10-09-2017,22761.07
10-10-2017,22830.68
10-11-2017,22872.89
10-12-2017,22841.01
10/13/2017,22871.72
10/16/2017,22956.96
10/17/2017,22997.44
10/18/2017,23157.6
10/19/2017,23163.04
10/20/2017,23328.63
10/23/2017,23273.96
10/24/2017,23441.76
10/25/2017,23329.46
10/26/2017,23400.86
10/27/2017,23434.19
10/30/2017,23348.74
10/31/2017,23377.24
11-01-2017,23435.01
11-02-2017,23516.26
11-03-2017,23539.19
11-06-2017,23548.42
11-07-2017,23557.23
11-08-2017,23563.36
11-09-2017,23461.94
11-10-2017,23422.21
11/13/2017,23439.7
11/14/2017,23409.47
11/15/2017,23271.28
11/16/2017,23458.36
11/17/2017,23358.24
11/20/2017,23430.33
11/21/2017,23590.83
11/22/2017,23526.18
11/24/2017,23557.99
11/27/2017,23580.78
11/28/2017,23836.71
11/29/2017,23940.68
11/30/2017,24272.35
12-01-2017,24231.59
12-04-2017,24290.05
12-05-2017,24180.64
12-06-2017,24140.91
12-07-2017,24211.48
12-08-2017,24329.16
12-11-2017,24386.03
12-12-2017,24504.8
12/13/2017,24585.43
12/14/2017,24508.66
12/15/2017,24651.74
12/18/2017,24792.2
12/19/2017,24754.75
12/20/2017,24726.65
12/21/2017,24782.29
12/22/2017,24754.06
12/26/2017,24746.21
12/27/2017,24774.3
12/28/2017,24837.51
12/29/2017,24719.22
01-02-2018,24824.01
01-03-2018,24922.68
01-04-2018,25075.13
01-05-2018,25295.87
01-08-2018,25283
01-10-2018,25369.13
01-11-2018,25574.73
01-12-2018,25803.19
1/16/2018,25792.86
1/18/2018,26017.81
1/19/2018,26071.72
1/22/2018,26214.6
1/23/2018,26210.81
1/24/2018,26252.12
1/25/2018,26392.79
1/26/2018,26616.71
1/29/2018,26439.48
1/30/2018,26076.89
1/31/2018,26149.39
02-01-2018,26186.71
02-02-2018,25520.96
02-05-2018,24345.75
02-06-2018,24912.77
02-07-2018,24893.35
02-08-2018,23860.46
02-09-2018,24190.9
02-12-2018,24601.27
2/13/2018,24640.45
2/14/2018,24893.49
2/15/2018,25200.37
2/16/2018,25219.38
2/20/2018,24964.75
2/21/2018,24797.78
2/22/2018,24962.48
2/23/2018,25309.99
2/26/2018,25709.27
2/27/2018,25410.03
2/28/2018,25029.2
03-01-2018,24608.98
03-02-2018,24538.06
03-05-2018,24874.76
03-06-2018,24884.12
03-07-2018,24801.36
03-08-2018,24895.21
03-09-2018,25335.74
03-12-2018,25178.61
3/13/2018,25007.03
3/14/2018,24758.12
3/15/2018,24873.66
3/16/2018,24946.51
3/19/2018,24610.91
3/20/2018,24727.27
3/21/2018,24682.31
3/22/2018,23957.89
3/23/2018,23533.2
3/26/2018,24202.6
3/27/2018,23857.71
3/28/2018,23848.42
3/29/2018,24103.11
04-02-2018,23644.19
04-03-2018,24033.36
04-04-2018,24264.3
04-05-2018,24505.22
04-06-2018,23932.76
04-09-2018,23979.1
04-10-2018,24408
04-11-2018,24189.45
04-12-2018,24483.05
4/13/2018,24360.14
4/16/2018,24573.04
4/17/2018,24786.63
4/18/2018,24748.07
4/19/2018,24664.89
4/20/2018,24462.94
4/23/2018,24448.69
4/24/2018,24024.13
4/25/2018,24083.83
4/26/2018,24322.34
4/27/2018,24311.19
4/30/2018,24163.15
05-01-2018,24099.05
05-02-2018,23924.98
05-03-2018,23930.15
05-04-2018,24262.51
05-08-2018,24360.21
05-09-2018,24542.54
05-10-2018,24739.53
05-11-2018,24831.17
5/14/2018,24899.41
5/15/2018,24706.41
5/16/2018,24768.93
5/17/2018,24713.98
5/18/2018,24715.09
5/22/2018,24834.41
5/23/2018,24886.81
5/24/2018,24811.76
5/29/2018,24361.45
5/30/2018,24667.78
5/31/2018,24415.84
06-01-2018,24635.21
06-04-2018,24813.69
06-05-2018,24799.98
06-06-2018,25146.39
06-07-2018,25241.41
06-08-2018,25316.53
06-11-2018,25322.31
06-12-2018,25320.73
6/13/2018,25201.2
6/14/2018,25175.31
6/15/2018,25090.48
6/19/2018,24700.21
6/20/2018,24657.8
6/21/2018,24461.7
6/22/2018,24580.89
6/25/2018,24252.8
6/26/2018,24283.11
6/27/2018,24117.59
6/28/2018,24216.05
6/29/2018,24271.41
07-02-2018,24307.18
07-03-2018,24174.82
07-05-2018,24356.74
07-06-2018,24456.48
07-09-2018,24776.59
07-10-2018,24919.66
07-11-2018,24700.45
07-12-2018,24924.89
7/13/2018,25019.41
7/16/2018,25064.36
7/17/2018,25119.89
7/19/2018,25064.5
7/20/2018,25058.12
7/23/2018,25044.29
7/24/2018,25241.94
7/25/2018,25414.1
7/26/2018,25527.07
7/27/2018,25451.06
7/30/2018,25306.83
7/31/2018,25415.19
08-01-2018,25333.82
08-02-2018,25326.16
08-03-2018,25462.58
08-06-2018,25502.18
08-07-2018,25628.91
08-08-2018,25583.75
08-09-2018,25509.23
08-10-2018,25313.14
8/13/2018,25187.7
8/14/2018,25299.92
8/15/2018,25162.41
8/16/2018,25558.73
8/17/2018,25669.32
8/20/2018,25758.69
8/21/2018,25822.29
8/22/2018,25733.6
8/23/2018,25656.98
8/24/2018,25790.35
8/27/2018,26049.64
8/28/2018,26064.02
8/29/2018,26124.57
8/30/2018,25986.92
8/31/2018,25964.82
09-04-2018,25952.48
09-05-2018,25974.99
09-06-2018,25995.87
09-07-2018,25916.54
09-10-2018,25857.07
09-11-2018,25971.06
09-12-2018,25998.92
9/13/2018,26145.99
9/14/2018,26154.67
9/17/2018,26062.12
9/18/2018,26246.96
9/19/2018,26405.76
9/21/2018,26743.5
9/24/2018,26562.05
9/25/2018,26492.21
9/26/2018,26385.28
9/27/2018,26439.93
9/28/2018,26458.31
10-01-2018,26651.21
10-02-2018,26773.94
10-03-2018,26828.39
10-04-2018,26627.48
10-05-2018,26447.05
10-08-2018,26486.78
10-09-2018,26430.57
10-10-2018,25598.74
10-11-2018,25052.83
10-12-2018,25339.99
10/15/2018,25250.55
10/16/2018,25798.42
10/17/2018,25706.68
10/18/2018,25379.45
10/19/2018,25444.34
10/22/2018,25317.41
10/23/2018,25191.43
10/24/2018,24583.42
10/25/2018,24984.55
10/26/2018,24688.31
10/29/2018,24442.92
10/30/2018,24874.64
10/31/2018,25115.76
11-01-2018,25380.74
11-02-2018,25270.83
11-05-2018,25461.7
11-06-2018,25635.01
11-07-2018,26180.3
11-08-2018,26191.22
11-09-2018,25989.3
11-12-2018,25387.18
11/13/2018,25286.49
11/14/2018,25080.5
11/15/2018,25289.27
11/16/2018,25413.22
11/19/2018,25017.44
11/20/2018,24465.64
11/21/2018,24464.69
11/23/2018,24285.95
11/26/2018,24640.24
11/27/2018,24748.73
11/28/2018,25366.43
11/29/2018,25338.84
11/30/2018,25538.46
12-03-2018,25826.43
12-04-2018,25027.07
12-06-2018,24947.67
12-07-2018,24388.95
12-10-2018,24423.26
12-11-2018,24370.24
12-12-2018,24527.27
12/13/2018,24597.38
12/14/2018,24100.51
12/17/2018,23592.98
12/18/2018,23675.64
12/19/2018,23323.66
12/20/2018,22859.6
12/21/2018,22445.37
12/24/2018,21792.2
12/27/2018,23138.82
12/31/2018,23327.46
01-02-2019,23346.24
01-03-2019,22686.22
01-04-2019,23433.16
01-07-2019,23531.35
01-08-2019,23787.45
01-09-2019,23879.12
01-10-2019,24001.92
01-11-2019,23995.95
1/14/2019,23909.84
1/15/2019,24065.59
1/16/2019,24207.16
1/17/2019,24370.1
1/18/2019,24706.35
1/22/2019,24404.48
1/23/2019,24575.62
1/24/2019,24553.24
1/25/2019,24737.2
1/28/2019,24528.22
1/29/2019,24579.96
1/30/2019,25014.86
02-01-2019,25063.89
02-04-2019,25239.37
02-05-2019,25411.52
02-06-2019,25390.3
02-07-2019,25169.53
02-08-2019,25106.33
02-11-2019,25053.11
02-12-2019,25425.76
2/13/2019,25543.27
2/14/2019,25439.39
2/15/2019,25883.25
2/19/2019,25891.32
2/20/2019,25954.44
2/21/2019,25850.63
2/22/2019,26031.81
2/25/2019,26091.95
2/26/2019,26057.98
2/27/2019,25985.16
2/28/2019,25916
03-01-2019,26026.32
03-04-2019,25819.65
03-05-2019,25806.63
03-06-2019,25673.46
03-07-2019,25473.23
03-08-2019,25450.24
03-11-2019,25650.88
03-12-2019,25554.66
3/13/2019,25702.89
3/14/2019,25709.94
3/15/2019,25848.87
3/18/2019,25914.1
3/19/2019,25887.38
3/20/2019,25745.67
3/21/2019,25962.51
3/22/2019,25502.32
3/25/2019,25516.83
3/26/2019,25657.73
3/27/2019,25625.59
3/29/2019,25928.68
04-01-2019,26258.42
04-02-2019,26179.13
04-03-2019,26218.13
04-04-2019,26384.63
04-05-2019,26424.99
04-08-2019,26341.02
04-09-2019,26150.58
04-10-2019,26157.16
04-11-2019,26143.05
04-12-2019,26412.3
4/15/2019,26384.77
4/16/2019,26452.66
4/17/2019,26449.54
4/18/2019,26559.54
4/19/2019,26559.54
4/22/2019,26511.05
4/23/2019,26656.39
4/24/2019,26597.05
4/25/2019,26462.08
4/26/2019,26543.33
4/29/2019,26554.39
4/30/2019,26592.91
05-01-2019,26430.14
05-02-2019,26307.79
05-03-2019,26504.95
05-06-2019,26438.48
05-07-2019,25965.09
05-08-2019,25967.33
05-09-2019,25828.36
05-10-2019,25942.37
5/13/2019,25324.99
5/14/2019,25532.05
5/15/2019,25648.02
5/16/2019,25862.68
5/17/2019,25764
5/20/2019,25679.9
5/23/2019,25490.47
5/24/2019,25585.69
5/28/2019,25347.77
5/29/2019,25126.41
5/30/2019,25169.88
5/31/2019,24886.63
06-03-2019,24819.78
06-04-2019,25332.18
06-05-2019,25539.57
06-06-2019,25720.66
06-07-2019,25983.94
06-10-2019,26062.68
06-11-2019,26048.51
06-12-2019,26004.83
6/13/2019,26106.77
6/14/2019,26089.61
6/17/2019,26112.53
6/18/2019,26465.54
6/19/2019,26504
6/20/2019,26753.17
6/21/2019,26719.13
6/24/2019,26727.54
6/25/2019,26548.22
6/26/2019,26536.82
6/27/2019,26526.58
6/28/2019,26599.96
07-01-2019,26717.43
07-02-2019,26786.68
07-03-2019,26966
07-08-2019,26806.14
07-09-2019,26783.49
07-10-2019,26860.2
07-11-2019,27088.08
07-12-2019,27332.03
7/15/2019,27359.16
7/16/2019,27335.63
7/17/2019,27219.85
7/18/2019,27222.97
7/19/2019,27154.2
7/23/2019,27349.19
7/24/2019,27269.97
7/25/2019,27140.98
7/26/2019,27192.45
7/29/2019,27221.35
7/30/2019,27198.02
7/31/2019,26864.27
08-01-2019,26583.42
08-02-2019,26485.01
08-05-2019,25717.74
08-06-2019,26029.52
08-07-2019,26007.07
08-08-2019,26378.19
08-09-2019,26287.44
08-12-2019,25896.44
8/13/2019,26279.91
8/14/2019,25479.42
8/15/2019,25579.39
8/16/2019,25886.01
8/19/2019,26135.79
8/20/2019,25962.44
8/21/2019,26202.73
8/22/2019,26252.24
8/23/2019,25628.9
8/26/2019,25898.83
8/27/2019,25777.9
8/28/2019,26036.1
8/29/2019,26362.25
8/30/2019,26403.28
09-03-2019,26118.02
09-04-2019,26355.47
09-05-2019,26728.15
09-06-2019,26797.46
09-09-2019,26835.51
09-10-2019,26909.43
09-11-2019,27137.04
09-12-2019,27182.45
9/13/2019,27219.52
9/16/2019,27076.82
9/18/2019,27147.08
9/19/2019,27094.79
9/20/2019,26935.07
9/23/2019,26949.99
9/24/2019,26807.77
9/25/2019,26970.71
9/26/2019,26891.12
9/27/2019,26820.25
9/30/2019,26916.83
10-01-2019,26573.04
10-02-2019,26078.62
10-03-2019,26201.04
10-04-2019,26573.72
10-07-2019,26478.02
10-08-2019,26164.04
10-09-2019,26346.01
10-10-2019,26496.67
10-11-2019,26816.59
10/14/2019,26787.36
10/15/2019,27024.8
10/16/2019,27001.98
10/17/2019,27025.88
10/18/2019,26770.2
10/21/2019,26827.64
10/22/2019,26788.1
10/23/2019,26833.95
10/24/2019,26805.53
10/25/2019,26958.06
10/28/2019,27090.72
10/29/2019,27071.42
10/30/2019,27186.69
10/31/2019,27046.23
11-01-2019,27347.36
11-04-2019,27462.11
11-05-2019,27492.63
11-06-2019,27492.56
11-07-2019,27674.8
11-08-2019,27681.24
11-11-2019,27691.49
11-12-2019,27691.49
11/13/2019,27783.59
11/14/2019,27781.96
11/15/2019,28004.89
11/18/2019,28036.22
11/19/2019,27934.02
11/20/2019,27821.09
11/21/2019,27766.29
11/25/2019,28066.47
11/26/2019,28121.68
11/27/2019,28164
12-02-2019,27783.04
12-03-2019,27502.81
12-05-2019,27677.79
12-06-2019,28015.06
12-09-2019,27909.6
12-10-2019,27881.72
12-11-2019,27911.3
12-12-2019,28132.05
12/13/2019,28135.38
12/16/2019,28235.89
12/17/2019,28267.16
12/18/2019,28239.28
12/19/2019,28376.96
12/20/2019,28455.09
12/23/2019,28551.53
12/24/2019,28515.45
12/26/2019,28621.39
12/27/2019,28645.26
12/30/2019,28462.14
12/31/2019,28538.44
01-02-2020,28868.8
01-03-2020,28634.88
01-06-2020,28703.38
01-08-2020,28745.09
01-09-2020,28956.9
01-10-2020,28823.77
1/13/2020,28907.05
1/14/2020,28939.67
1/15/2020,29030.22
1/16/2020,29297.64
1/17/2020,29348.1
1/21/2020,29196.04
